"global_var_name","file","start_line","end_line"
"error","/home/runner/work/redis/redis/src/redis-check-aof.c",59,59
"nothrow","/usr/include/c++/13/new",99,99
"c","/home/runner/work/redis/redis/src/rand.c",68,68
"powers_ten","/home/runner/work/redis/redis/deps/fpconv/fpconv_powers.h",54,54
"k","/home/runner/work/redis/redis/src/sha256.c",32,32
"hiredisAllocFns","/home/runner/work/redis/redis/deps/hiredis/alloc.c",36,36
"tens","/home/runner/work/redis/redis/deps/fpconv/fpconv_dtoa.c",54,54
"a","/home/runner/work/redis/redis/src/rand.c",68,68
"callbackDict","/home/runner/work/redis/redis/deps/hiredis/async.c",97,97
"src","/home/runner/work/redis/redis/tests/modules/eventloop.c",23,23
"stderr","/usr/x86_64-linux-gnu/include/stdio.h",151,151
"stdout","/usr/x86_64-linux-gnu/include/stdio.h",150,150
"stdin","/usr/x86_64-linux-gnu/include/stdio.h",149,149
"output","/home/runner/work/redis/redis/deps/lua/src/luac.c",33,33
"defaultFunctions","/home/runner/work/redis/redis/deps/hiredis/hiredis.c",69,69
"redisContextDefaultFuncs","/home/runner/work/redis/redis/deps/hiredis/hiredis.c",50,50
"__environ","/usr/x86_64-linux-gnu/include/unistd.h",564,564
"program_invocation_short_name","/usr/x86_64-linux-gnu/include/errno.h",46,46
"program_invocation_name","/usr/x86_64-linux-gnu/include/errno.h",45,45
"line","/home/runner/work/redis/redis/src/redis-check-aof.c",61,61
"CLASSIC_FOOTER","/home/runner/work/redis/redis/deps/hdr_histogram/hdr_histogram.c",1168,1168
"optopt","/usr/x86_64-linux-gnu/include/bits/getopt_core.h",59,59
"opterr","/usr/x86_64-linux-gnu/include/bits/getopt_core.h",55,55
"optind","/usr/x86_64-linux-gnu/include/bits/getopt_core.h",50,50
"optarg","/usr/x86_64-linux-gnu/include/bits/getopt_core.h",36,36
"signgam","/usr/x86_64-linux-gnu/include/math.h",854,854
"in6addr_loopback","/usr/x86_64-linux-gnu/include/netinet/in.h",238,238
"in6addr_any","/usr/x86_64-linux-gnu/include/netinet/in.h",237,237
"config_stats","/home/runner/work/redis/redis/deps/jemalloc/include/jemalloc/internal/jemalloc_preamble.h",124,124
"config","/home/runner/work/redis/redis/src/redis-benchmark.c",108,108
"config","/home/runner/work/redis/redis/src/redis-cli.c",270,270
"opt_retain","/home/runner/work/redis/redis/deps/jemalloc/src/extent_mmap.c",10,10
"opt_dirty_decay_ms","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",33,33
"have_dss","/home/runner/work/redis/redis/deps/jemalloc/include/jemalloc/internal/jemalloc_preamble.h",67,67
"opt_muzzy_decay_ms","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",34,34
"arena_binind_div_info","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",42,42
"have_background_thread","/home/runner/work/redis/redis/deps/jemalloc/include/jemalloc/internal/jemalloc_preamble.h",240,240
"arena_bin_offsets","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",47,47
"bin_infos","/home/runner/work/redis/redis/deps/jemalloc/src/bin_info.c",6,6
"arena_pa_central_global","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",40,40
"hpa_hooks_default","/home/runner/work/redis/redis/deps/jemalloc/src/hpa_hooks.c",14,14
"opt_oversize_threshold","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",44,44
"oversize_threshold","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",45,45
"config_prof","/home/runner/work/redis/redis/deps/jemalloc/include/jemalloc/internal/jemalloc_preamble.h",96,96
"opt_prof","/home/runner/work/redis/redis/deps/jemalloc/src/prof.c",26,26
"config_opt_safety_checks","/home/runner/work/redis/redis/deps/jemalloc/include/jemalloc/internal/jemalloc_preamble.h",174,174
"arena_emap_global","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",39,39
"opt_hpa","/home/runner/work/redis/redis/deps/jemalloc/src/jemalloc.c",161,161
"opt_hpa_opts","/home/runner/work/redis/redis/deps/jemalloc/src/jemalloc.c",162,162
"opt_hpa_sec_opts","/home/runner/work/redis/redis/deps/jemalloc/src/jemalloc.c",163,163
"test_hooks_arena_new_hook","/home/runner/work/redis/redis/deps/jemalloc/src/test_hooks.c",9,9
"je_opt_retain","/home/runner/work/redis/redis/deps/jemalloc/src/extent_mmap.c",10,10
"batch","/home/runner/work/redis/redis/src/memory_prefetch.c",85,85
"je_opt_prof","/home/runner/work/redis/redis/deps/jemalloc/src/prof.c",26,26
"tcache_maxclass","/home/runner/work/redis/redis/deps/jemalloc/src/tcache.c",69,69
"narenas_auto","/home/runner/work/redis/redis/deps/jemalloc/src/jemalloc.c",180,180
"manual_arena_base","/home/runner/work/redis/redis/deps/jemalloc/src/jemalloc.c",181,181
"sz_large_pad","/home/runner/work/redis/redis/deps/jemalloc/src/sz.c",7,7
"arena_config_default","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",52,52
"huge_arena_ind","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",50,50
"nbins_total","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",48,48
"muzzy_decay_ms_default","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",37,37
"dirty_decay_ms_default","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",36,36
"opt_percpu_arena","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",31,31
"percpu_arena_mode_names","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",24,24
"nhbins","/home/runner/work/redis/redis/deps/jemalloc/src/tcache.c",67,67
"tcache_bin_info","/home/runner/work/redis/redis/deps/jemalloc/src/tcache.c",60,60
"nstime_update","/home/runner/work/redis/redis/deps/jemalloc/src/nstime.c",275,275
"dss_prec_names","/home/runner/work/redis/redis/deps/jemalloc/src/extent_dss.c",13,13
"je_arena_config_default","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",52,52
"ehooks_default_extent_hooks","/home/runner/work/redis/redis/deps/jemalloc/src/ehooks.c",257,257
"je_arena_bin_offsets","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",47,47
"je_oversize_threshold","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",45,45
"je_opt_oversize_threshold","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",44,44
"je_arena_binind_div_info","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",42,42
"je_arena_pa_central_global","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",40,40
"je_arena_emap_global","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",39,39
"je_opt_muzzy_decay_ms","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",34,34
"je_opt_dirty_decay_ms","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",33,33
"je_opt_percpu_arena","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",31,31
"je_percpu_arena_mode_names","/home/runner/work/redis/redis/deps/jemalloc/src/arena.c",24,24
"environ","/usr/x86_64-linux-gnu/include/unistd.h",25,25
"environ","/usr/x86_64-linux-gnu/include/unistd.h",25,57
"environ","/usr/x86_64-linux-gnu/include/unistd.h",25,106
"environ","/usr/x86_64-linux-gnu/include/unistd.h",25,566
"environ","/usr/x86_64-linux-gnu/include/unistd.h",25,2427
"environ","/usr/x86_64-linux-gnu/include/unistd.h",57,25
"environ","/usr/x86_64-linux-gnu/include/unistd.h",57,57
"environ","/usr/x86_64-linux-gnu/include/unistd.h",57,106
"environ","/usr/x86_64-linux-gnu/include/unistd.h",57,566
"environ","/usr/x86_64-linux-gnu/include/unistd.h",57,2427
"environ","/usr/x86_64-linux-gnu/include/unistd.h",106,25
"environ","/usr/x86_64-linux-gnu/include/unistd.h",106,57
"environ","/usr/x86_64-linux-gnu/include/unistd.h",106,106
"environ","/usr/x86_64-linux-gnu/include/unistd.h",106,566
"environ","/usr/x86_64-linux-gnu/include/unistd.h",106,2427
"environ","/usr/x86_64-linux-gnu/include/unistd.h",566,25
"environ","/usr/x86_64-linux-gnu/include/unistd.h",566,57
"environ","/usr/x86_64-linux-gnu/include/unistd.h",566,106
"environ","/usr/x86_64-linux-gnu/include/unistd.h",566,566
"environ","/usr/x86_64-linux-gnu/include/unistd.h",566,2427
"environ","/usr/x86_64-linux-gnu/include/unistd.h",2427,25
"environ","/usr/x86_64-linux-gnu/include/unistd.h",2427,57
"environ","/usr/x86_64-linux-gnu/include/unistd.h",2427,106
"environ","/usr/x86_64-linux-gnu/include/unistd.h",2427,566
"environ","/usr/x86_64-linux-gnu/include/unistd.h",2427,2427
"environ","/home/runner/work/redis/redis/src/sentinel.c",25,25
"environ","/home/runner/work/redis/redis/src/sentinel.c",25,57
"environ","/home/runner/work/redis/redis/src/sentinel.c",25,106
"environ","/home/runner/work/redis/redis/src/sentinel.c",25,566
"environ","/home/runner/work/redis/redis/src/sentinel.c",25,2427
"environ","/home/runner/work/redis/redis/src/sentinel.c",57,25
"environ","/home/runner/work/redis/redis/src/sentinel.c",57,57
"environ","/home/runner/work/redis/redis/src/sentinel.c",57,106
"environ","/home/runner/work/redis/redis/src/sentinel.c",57,566
"environ","/home/runner/work/redis/redis/src/sentinel.c",57,2427
"environ","/home/runner/work/redis/redis/src/sentinel.c",106,25
"environ","/home/runner/work/redis/redis/src/sentinel.c",106,57
"environ","/home/runner/work/redis/redis/src/sentinel.c",106,106
"environ","/home/runner/work/redis/redis/src/sentinel.c",106,566
"environ","/home/runner/work/redis/redis/src/sentinel.c",106,2427
"environ","/home/runner/work/redis/redis/src/sentinel.c",566,25
"environ","/home/runner/work/redis/redis/src/sentinel.c",566,57
"environ","/home/runner/work/redis/redis/src/sentinel.c",566,106
"environ","/home/runner/work/redis/redis/src/sentinel.c",566,566
"environ","/home/runner/work/redis/redis/src/sentinel.c",566,2427
"environ","/home/runner/work/redis/redis/src/sentinel.c",2427,25
"environ","/home/runner/work/redis/redis/src/sentinel.c",2427,57
"environ","/home/runner/work/redis/redis/src/sentinel.c",2427,106
"environ","/home/runner/work/redis/redis/src/sentinel.c",2427,566
"environ","/home/runner/work/redis/redis/src/sentinel.c",2427,2427
"environ","/home/runner/work/redis/redis/src/setproctitle.c",25,25
"environ","/home/runner/work/redis/redis/src/setproctitle.c",25,57
"environ","/home/runner/work/redis/redis/src/setproctitle.c",25,106
"environ","/home/runner/work/redis/redis/src/setproctitle.c",25,566
"environ","/home/runner/work/redis/redis/src/setproctitle.c",25,2427
"environ","/home/runner/work/redis/redis/src/setproctitle.c",57,25
"environ","/home/runner/work/redis/redis/src/setproctitle.c",57,57
"environ","/home/runner/work/redis/redis/src/setproctitle.c",57,106
"environ","/home/runner/work/redis/redis/src/setproctitle.c",57,566
"environ","/home/runner/work/redis/redis/src/setproctitle.c",57,2427
"environ","/home/runner/work/redis/redis/src/setproctitle.c",106,25
"environ","/home/runner/work/redis/redis/src/setproctitle.c",106,57
