"macro_name","body"
"_POSIX_C_SOURCE","#define _POSIX_C_SOURCE 200112L"
"_POSIX_C_SOURCE","#define _POSIX_C_SOURCE 200809L"
"bool","#define bool _Bool"
"_XOPEN_SOURCE","#define _XOPEN_SOURCE 600"
"_XOPEN_SOURCE","#define _XOPEN_SOURCE 700"
"__HIREDIS_FMACRO_H","#define __HIREDIS_FMACRO_H "
"","#define  "
"FPCONV_DTOA_H","#define FPCONV_DTOA_H "
"__GLIBC_MINOR__","#define __GLIBC_MINOR__ 39"
"__GLIBC__","#define __GLIBC__ 2"
"__GNU_LIBRARY__","#define __GNU_LIBRARY__ 6"
"__GLIBC_USE_C2X_STRTOL","#define __GLIBC_USE_C2X_STRTOL 0"
"__GLIBC_USE_C2X_STRTOL","#define __GLIBC_USE_C2X_STRTOL 1"
"__GLIBC_USE_DEPRECATED_SCANF","#define __GLIBC_USE_DEPRECATED_SCANF 0"
"__GLIBC_USE_DEPRECATED_GETS","#define __GLIBC_USE_DEPRECATED_GETS 1"
"__GLIBC_USE_DEPRECATED_GETS","#define __GLIBC_USE_DEPRECATED_GETS 0"
"__USE_FORTIFY_LEVEL","#define __USE_FORTIFY_LEVEL 3"
"__USE_FORTIFY_LEVEL","#define __USE_FORTIFY_LEVEL 0"
"__USE_ISOC95","#define __USE_ISOC95 1"
"__USE_ISOC99","#define __USE_ISOC99 1"
"__GLIBC_USE_ISOC2X","#define __GLIBC_USE_ISOC2X 0"
"__GLIBC_USE_ISOC2X","#define __GLIBC_USE_ISOC2X 1"
"__KERNEL_STRICT_NAMES","#define __KERNEL_STRICT_NAMES "
"__USE_GNU","#define __USE_GNU 1"
"__USE_DYNAMIC_STACK_SIZE","#define __USE_DYNAMIC_STACK_SIZE 1"
"__USE_ATFILE","#define __USE_ATFILE 1"
"__USE_MISC","#define __USE_MISC 1"
"__USE_FILE_OFFSET64","#define __USE_FILE_OFFSET64 1"
"__USE_LARGEFILE64","#define __USE_LARGEFILE64 1"
"__USE_LARGEFILE","#define __USE_LARGEFILE 1"
"__USE_XOPEN2K8XSI","#define __USE_XOPEN2K8XSI 1"
"__USE_XOPEN2K8","#define __USE_XOPEN2K8 1"
"__USE_XOPEN2KXSI","#define __USE_XOPEN2KXSI 1"
"offsetof","#define offsetof(TYPE,MEMBER) __builtin_offsetof (TYPE, MEMBER)"
"__need_NULL","#define __need_NULL "
"NULL","#define NULL ((void *)0)"
"NULL","#define NULL __null"
"__need_wchar_t","#define __need_wchar_t "
"_BSD_WCHAR_T_","#define _BSD_WCHAR_T_ "
"__DEFINED_wchar_t","#define __DEFINED_wchar_t "
"_WCHAR_T_DECLARED","#define _WCHAR_T_DECLARED "
"_GCC_WCHAR_T","#define _GCC_WCHAR_T "
"__INT_WCHAR_T_H","#define __INT_WCHAR_T_H "
"___int_wchar_t_h","#define ___int_wchar_t_h "
"_WCHAR_T_H","#define _WCHAR_T_H "
"_WCHAR_T_DEFINED","#define _WCHAR_T_DEFINED "
"_WCHAR_T_DEFINED_","#define _WCHAR_T_DEFINED_ "
"_WCHAR_T_","#define _WCHAR_T_ "
"__WCHAR_T","#define __WCHAR_T "
"__USE_XOPEN2K","#define __USE_XOPEN2K 1"
"__USE_UNIX98","#define __USE_UNIX98 1"
"__USE_XOPEN_EXTENDED","#define __USE_XOPEN_EXTENDED 1"
"__USE_XOPEN","#define __USE_XOPEN 1"
"__USE_POSIX199506","#define __USE_POSIX199506 1"
"__USE_POSIX199309","#define __USE_POSIX199309 1"
"__USE_POSIX2","#define __USE_POSIX2 1"
"__USE_POSIX","#define __USE_POSIX 1"
"__USE_ISOCXX11","#define __USE_ISOCXX11 1"
"_T_WCHAR","#define _T_WCHAR "
"_T_WCHAR_","#define _T_WCHAR_ "
"__USE_ISOC11","#define __USE_ISOC11 1"
"_FEATURES_H","#define _FEATURES_H 1"
"_GNU_SOURCE","#define _GNU_SOURCE 1"
"_GNU_SOURCE","#define _GNU_SOURCE "
"_WCHAR_T","#define _WCHAR_T 1"
"_WCHAR_T","#define _WCHAR_T "
"__WCHAR_T__","#define __WCHAR_T__ "
"__wchar_t__","#define __wchar_t__ "
"__need_size_t","#define __need_size_t "
"__size_t","#define __size_t size_t"
"__size_t","#define __size_t "
"_SIZET_","#define _SIZET_ "
"_GCC_SIZE_T","#define _GCC_SIZE_T "
"__cplusplus","#define __cplusplus 201103L"
"___int_size_t_h","#define ___int_size_t_h "
"__DEFINED_size_t","#define __DEFINED_size_t "
"_SIZE_T_DECLARED","#define _SIZE_T_DECLARED "
"_BSD_SIZE_T_DEFINED_","#define _BSD_SIZE_T_DEFINED_ "
"_SIZE_T_DEFINED","#define _SIZE_T_DEFINED "
"_SIZE_T_DEFINED_","#define _SIZE_T_DEFINED_ "
"_DEFAULT_SOURCE","#define _DEFAULT_SOURCE 1"
"_DEFAULT_SOURCE","#define _DEFAULT_SOURCE "
"_BSD_SIZE_T_","#define _BSD_SIZE_T_ "
"_SIZE_T_","#define _SIZE_T_ "
"__SIZE_T","#define __SIZE_T "
"_T_SIZE","#define _T_SIZE "
"_T_SIZE_","#define _T_SIZE_ "
"_SYS_SIZE_T_H","#define _SYS_SIZE_T_H "
"_SIZE_T","#define _SIZE_T "
"__SIZE_T__","#define __SIZE_T__ "
"__size_t__","#define __size_t__ "
"__DEFINED_ptrdiff_t","#define __DEFINED_ptrdiff_t "
"_PTRDIFF_T_DECLARED","#define _PTRDIFF_T_DECLARED "
"_GCC_PTRDIFF_T","#define _GCC_PTRDIFF_T "
"___int_ptrdiff_t_h","#define ___int_ptrdiff_t_h "
"_BSD_PTRDIFF_T_","#define _BSD_PTRDIFF_T_ "
"_PTRDIFF_T_","#define _PTRDIFF_T_ "
"__PTRDIFF_T","#define __PTRDIFF_T "
"_T_PTRDIFF","#define _T_PTRDIFF "
"_T_PTRDIFF_","#define _T_PTRDIFF_ "
"_PTRDIFF_T","#define _PTRDIFF_T "
"_ANSI_STDDEF_H","#define _ANSI_STDDEF_H "
"_STDDEF_H_","#define _STDDEF_H_ "
"_STDDEF_H","#define _STDDEF_H "
"_XOPEN_SOURCE_EXTENDED","#define _XOPEN_SOURCE_EXTENDED 1"
"_LARGEFILE_SOURCE","#define _LARGEFILE_SOURCE 1"
"_LARGEFILE_SOURCE","#define _LARGEFILE_SOURCE "
"_LARGEFILE64_SOURCE","#define _LARGEFILE64_SOURCE 1"
"__PTRDIFF_TYPE__","#define __PTRDIFF_TYPE__ long int"
"__SIZE_TYPE__","#define __SIZE_TYPE__ long unsigned int"
"_ATFILE_SOURCE","#define _ATFILE_SOURCE 1"
"_DYNAMIC_STACK_SIZE_SOURCE","#define _DYNAMIC_STACK_SIZE_SOURCE 1"
"_POSIX_SOURCE","#define _POSIX_SOURCE 1"
"inline","#define inline inline"
